,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026
Multi-Destination,,,8,12,10,4,5,8,5,
Anguilla,,,,,,,,,1,
Antigua and Barbuda,,,,,,,,2,,
Argentina,1,2,2,1,2,,1,3,,3
Australia,2,7,,1,5,,,17,9,11
Bhutan,1,3,4,,,2,,2,1,2
Brazil,5,11,1,2,,6,2,4,4,4
Cameroon,1,,,,,,,,,1
Chile,1,,1,1,,,1,2,2,2
China,7,3,4,4,2,,1,,2,
Colombia,,,,,,,,,1,
Costa Rica,15,23,22,16,4,15,19,26,18,20
Cuba,2,3,,1,4,,1,6,6,
Czech Republic,,,,,1,,,,,
Denmark,,3,1,1,2,,2,5,3,3
Ecuador,14,11,15,18,9,2,6,5,8,15
Egypt,,,,,,,,,1,
Finland,,1,2,1,,,,,,
France,9,8,6,7,10,1,7,10,15,12
Germany,2,,3,5,3,2,6,4,,6
Ghana,,,,,2,,,,,
Greece,,,,,,,2,3,4,1
Hong Kong,,,,,,,2,1,6,5
Hungary,2,,1,,,,,,,
India,1,,,,,,,,,
Ireland,1,,1,,,,1,10,8,10
Israel,1,,,,,,,,,
Italy,9,10,11,8,7,3,8,14,2,9
Japan,1,1,4,9,2,,7,3,8,4
Jordan,2,,1,,,1,,,,
Kazakhstan,,,,,,,,,,1
Kenya,,,,,,,,1,,
Korea (South),,,2,3,,2,1,2,3,1
Kyrgyzstan,,,1,,,,,1,,
Lebanon,,,,,2,,,,,
Madagascar,1,,,,,,,,,
Mexico,,,,,,,2,4,1,
Morocco,1,,4,,,,,,,1
Nepal,3,10,3,7,12,,6,8,7,11
Netherlands,2,3,3,5,4,,,1,3,2
New Zealand,1,1,,4,2,,1,2,1,1
Peru,,,,,,,,1,,
Philippines,1,,,,,,,,,
Portugal,,,,,,1,,,1,
Russia,1,,,,,,,,,
Rwanda,,,1,,2,,,,,
Senegal,1,1,,,1,,,,,
Singapore,2,,3,1,2,,,,,
South Africa,,,,,,,,,1,
Spain,14,11,7,18,12,3,11,23,24,23
Sweden,,1,1,2,,,1,,1,
Switzerland,,,,,,,1,,,
Taiwan,,,,,,,1,1,,2
Tanzania,,,,,,,,,3,
Thailand,,,,,,,,,,1
Turkey,1,,,,,,,,,
Turks and Caicos,,,,,,,,,1,
United Kingdom,12,9,8,14,11,4,7,12,8,9
Vietnam,,7,8,7,,5,3,2,,
TOTAL,117,129,128,148,111,51,105,183,158,160
