Study Abroad Country,Fall 2015,Spring 2016,Fall 2016,Spring 2017,Fall 2017,Spring 2018,Fall 2018,Spring 2019,Fall 2019,Spring 2020,Fall 2020,Spring 2021,Fall 2021,Spring 2022,Fall 2022,Spring 2023,Fall 2023,Spring 2024,Fall 2024,Spring 2025,Total
Argentina,3,3,3,4,5,1,2,1,,3,,,,,1,1,3,1,4,1,36
Australia,3,3,3,1,4,1,6,1,1,2,,,,,3,1,2,2,3,1,37
Austria,,1,1,,1,1,1,3,3,1,,,1,,4,,3,1,3,,24
Bolivia,,,,,,1,,,1,,,,,,,,,,,,2
Brazil,,1,1,,,,,,,,,,,,,,,,1,,3
Chile,1,1,4,1,,,,1,,,,,1,,1,3,,,1,,14
China,2,3,1,1,3,,,1,2,,,,,,,,1,,1,,15
Colombia,,,,,,,,,,,,,,,,1,1,,,1,3
Costa Rica,,,,,,,,,,1,,,,,,,,,,,1
Cuba,1,,,,1,,,,3,1,,,,,,,,,,,6
Czech Republic,,1,2,1,7,,3,1,2,1,,1,,1,,1,6,3,4,,34
Denmark,14,2,8,3,4,4,8,1,6,,,,1,5,4,2,11,5,8,5,91
Dominican Republic,,,,,,,,,2,,,,,,,,,,,,2
Ecuador,1,1,2,,1,1,1,,,,,,,,,,,,,1,8
England,1,4,4,6,1,4,1,2,1,6,,,1,1,1,5,4,5,2,5,54
France,7,1,1,,5,3,4,,3,1,,,1,4,,2,3,1,1,2,39
Germany,,1,,1,2,4,6,1,2,2,,,1,1,2,1,6,1,1,,32
Ghana,,,,,,1,,1,,,,,1,2,,,,,,,5
Greece,2,1,1,1,,,,2,1,1,,,,,,1,3,1,,,14
Hungary,,4,4,1,3,2,2,3,2,2,,,1,,,,3,1,,1,29
Iceland,,,,,,,,,1,,,,,,,,,,,,1
India,,,,,2,,,,,,,,,,,,,,,,2
Indonesia,,1,,,1,,,,,,,,,,1,,,1,,,4
Ireland,1,2,1,,,,,,,,,,,,,,,1,,1,6
Israel,,,,,,,1,,3,,,,,,2,2,,,,,8
Italy,,1,,1,4,2,8,3,14,7,,,1,3,9,5,23,9,17,11,118
Japan,,,1,2,1,,,1,,,,,,,1,1,2,1,1,3,14
Jordan,4,1,1,,1,1,1,1,1,,,,1,,,,2,1,2,,17
Kazakhstan,1,,,,,,,,,,,,,,,,,,,,1
Malaysia,,,,,,,,,,1,,,,,,,,,,,1
Mexico,,,,,,,,1,1,1,,,,,,,,,1,,4
Mongolia,1,,,1,,,1,,,,,,,,,,,,,,3
Morocco,2,1,,,1,1,3,,,,,,,,1,,,,,,9
Multiple Locations,,,2,,,,,,,,,,,,,,,,,,2
Nepal,,1,,,,,,,,,,,,,,,,,,,1
New Zealand,,1,2,2,2,,4,,1,2,,,,,1,1,1,,2,1,20
Nicaragua,1,,,,,,,,,,,,,,,,,,,,1
Panama,,,,,,,,,,,,,,1,,1,1,,,,3
Peru,,,1,1,,,,,1,,,,,2,1,1,,,1,,8
Portugal,,,,,,,,1,,2,,,2,1,,,2,,,,8
Russia,,,,1,,,1,2,1,1,,,,,,,,,,,6
Samoa,,,,,,1,,,,,,,,,,,,,,,1
Scotland,1,,2,,3,,1,,2,,,,2,,5,1,5,2,2,1,27
Senegal,,,,1,,,,,,,,,,,,,,,,,1
Serbia,1,,1,,,,,,1,,,,,,,,,,,,3
South Africa,,2,,1,2,,1,,1,,,,,,1,,1,,1,,10
South Korea,,,,,1,,5,2,,,1,2,1,2,1,1,5,2,8,1,32
Spain,17,4,6,3,12,4,13,3,14,2,,1,1,4,11,5,24,18,21,6,169
Sweden,1,,1,,,1,1,,1,,,5,,1,,3,4,1,2,,21
Switzerland,,2,1,1,1,1,1,1,2,,,,,,1,3,3,1,1,,19
Taiwan,1,,,,,,1,1,,2,,,,,,,,2,,,7
Tanzania,1,,,1,,,,1,,,,,,,,,1,1,,,5
Thailand,,,,,,1,,,,,,,,,,,,,,,1
The Netherlands,,,,,,1,1,,,2,,,1,,,,,,,,5
Tunisia,,,,,,,,,,1,,,,,,,1,,,,2
Turkey,4,1,,,,,,,,,,,,,,,,,,,5
Uganda,1,,1,,,,,,,,,,,,,,,,,,2
Vietnam,,,1,,,,,,,,,,,,,,,,,,1
Total,72,44,56,35,68,36,77,35,73,42,1,9,17,28,51,42,121,61,88,41,997
